"feature","z","cell_type","cell"
"feature 14",2.734117222158814,"cell type 2","C27_p1d1"
"feature 8",-0.7023805146082471,"cell type 2","C27_p1d1"
"feature 11",2.9469956489338505,"cell type 2","C27_p1d1"
"feature 1",-0.7023366235904492,"cell type 2","C27_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C28_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C28_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C28_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C28_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C28_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C28_p1d1"
"feature 8",1.3732697205978799,"cell type 1","C28_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C28_p1d1"
"feature 1",1.3734237759900625,"cell type 1","C28_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C29_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C29_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C29_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C29_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C29_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C29_p1d1"
"feature 8",1.3523771356472394,"cell type 1","C29_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C29_p1d1"
"feature 1",1.385341388000321,"cell type 1","C29_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C3_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C3_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C3_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C3_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C3_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C3_p1d1"
"feature 8",1.4314505934147685,"cell type 1","C3_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C3_p1d1"
"feature 1",1.237640301928015,"cell type 1","C3_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C30_p1d1"
"feature 5",2.5924074080252844,"cell type 3","C30_p1d1"
"feature 13",2.528631649327055,"cell type 3","C30_p1d1"
"feature 12",3.6196884968190415,"cell type 3","C30_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C30_p1d1"
"feature 14",2.5405815261196305,"cell type 3","C30_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C30_p1d1"
"feature 11",2.8794333336281435,"cell type 3","C30_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C30_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C31_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C31_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C31_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C31_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C31_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C31_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C31_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C31_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C31_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C32_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C32_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C32_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C32_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C32_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C32_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C32_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C32_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C32_p1d1"
"feature 6",1.660657511502256,"cell type 1","C33_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C33_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C33_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C33_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C33_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C33_p1d1"
"feature 8",1.4793874365000363,"cell type 1","C33_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C33_p1d1"
"feature 1",1.4794522557178076,"cell type 1","C33_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C34_p1d1"
"feature 5",-0.3757091192007224,"cell type 1","C34_p1d1"
"feature 13",-0.37536184324819266,"cell type 1","C34_p1d1"
"feature 12",-0.25660064114989006,"cell type 1","C34_p1d1"
"feature 9",-0.3576554952433767,"cell type 1","C34_p1d1"
"feature 14",-0.37555569778799514,"cell type 1","C34_p1d1"
"feature 8",1.2112363988601422,"cell type 1","C34_p1d1"
"feature 11",-0.3570586999731203,"cell type 1","C34_p1d1"
"feature 1",1.2414125183236782,"cell type 1","C34_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C35_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C35_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C35_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C35_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C35_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C35_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C35_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C35_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C35_p1d1"
"feature 6",-0.5740092168195461,"cell type 3","C36_p1d1"
"feature 5",-0.3757091192007224,"cell type 3","C36_p1d1"
"feature 13",-0.37536184324819266,"cell type 3","C36_p1d1"
"feature 12",-0.25660064114989006,"cell type 3","C36_p1d1"
"feature 9",-0.3576554952433767,"cell type 3","C36_p1d1"
"feature 14",-0.37555569778799514,"cell type 3","C36_p1d1"
"feature 8",-0.7023805146082471,"cell type 3","C36_p1d1"
"feature 11",-0.3570586999731203,"cell type 3","C36_p1d1"
"feature 1",-0.7023366235904492,"cell type 3","C36_p1d1"
"feature 6",-0.5740092168195461,"cell type 1","C37_p1d1"
