"from","to","r","t","p.value","FDR","Type"
"CRO-03G003570","CRO-06G008460",0.9296700287799013,9.09889724883145,2.659932622340796e-7,3.899275556945961e-5,"co-expressed"
"CRO-03G003800","CRO-06G008460",0.9722891611178414,14.995363223330527,6.929003588755406e-10,2.6762361675981963e-7,"co-expressed"
"CRO-03G019430","CRO-06G008460",0.9711570184900821,14.68521952877211,8.964451690415611e-10,3.3171494554030293e-7,"co-expressed"
"CRO-03G030600","CRO-06G008460",0.9619312682041891,12.690818095237061,5.324507821082798e-9,1.4741690320741608e-6,"co-expressed"
"CRO-03G030620","CRO-06G008460",0.9789259577891299,17.283545027614938,1.187806535661633e-10,6.254650240751323e-8,"co-expressed"
"CRO-03G032330","CRO-06G008460",0.7948996792812473,4.723682925915165,1.9892478178600015e-4,0.00791915969236483,"co-expressed"
"CRO-03G032340","CRO-06G008460",0.9980165277694321,57.160603998098885,2.6515858494514956e-17,3.457437375002189e-13,"co-expressed"
"CRO-04G013510","CRO-06G008460",0.9967085909779604,44.32937486323896,7.109887279317624e-16,4.301292474114617e-12,"co-expressed"
"CRO-05G008760","CRO-06G008460",0.9660790538564833,13.48807199191502,2.540867721489643e-9,7.919964970289051e-7,"co-expressed"
"CRO-05G014340","CRO-06G008460",0.987860747175891,22.928648039456743,3.3646666357711813e-12,3.4120723311579482e-9,"co-expressed"
"CRO-05G015990","CRO-06G008460",0.9400745853175576,9.940752262035579,9.637947972875555e-8,1.6654365211839083e-5,"co-expressed"
"CRO-05G017150","CRO-06G008460",0.9432637011491989,10.242557916421712,6.807512270939504e-8,1.2451652415557193e-5,"co-expressed"
"CRO-05G023030","CRO-06G008460",0.9940953284022866,33.03154418183586,3.154591697343899e-14,8.367294074588166e-11,"co-expressed"
"CRO-03G003560","CRO-06G009840",-0.9170996283086671,-8.29445037633301,7.510280766514927e-7,9.315373891079574e-5,"co-expressed"
"CRO-03G003570","CRO-06G009840",-0.8106562598554454,-4.991889184205231,1.2323087631593404e-4,0.005532696885177345,"co-expressed"
"CRO-03G003800","CRO-06G009840",-0.9050260124112665,-7.671493946011835,1.7640713450144289e-6,1.900350809537443e-4,"co-expressed"
